A,B
"Polygon ((100.41245691 38.57463076, 100.41246776 38.57461782, 100.41246797 38.57460394, 100.4124171 38.57459753, 100.4123731 38.57462986, 100.41228449 38.57463188, 100.41224799 38.57462851, 100.41221476 38.57460603, 100.41216269 38.57461333, 100.41216844 38.57465902, 100.41215695 38.57469253, 100.41211444 38.57475405, 100.4121093 38.57480178, 100.41212914 38.57482252, 100.41216431 38.57482019, 100.41235392 38.57470445, 100.41245691 38.57463076))",225
"Polygon ((100.41185147 38.57433139, 100.41179651 38.57431537, 100.41172994 38.5743269, 100.41167591 38.57436847, 100.41149685 38.57452697, 100.41141174 38.57460985, 100.41148127 38.57467681, 100.41152444 38.5747115, 100.41157635 38.57477018, 100.41164602 38.57484748, 100.41169895 38.57483731, 100.41177282 38.57481139, 100.41180787 38.57474066, 100.41179666 38.574711, 100.41179734 38.5746681, 100.41179846 38.57464782, 100.41184021 38.57460919, 100.41183661 38.57458063, 100.41186323 38.57454456, 100.41191719 38.57450935, 100.41193944 38.57448287, 100.41190104 38.57438204, 100.41185147 38.57433139))",226
"Polygon ((100.41512201 38.57489096, 100.4151061 38.57482252, 100.41514753 38.57482964, 100.41522732 38.57481152, 100.41544321 38.57467354, 100.41543431 38.57459166, 100.41527543 38.57454019, 100.41519268 38.57451478, 100.41516792 38.57450717, 100.41499738 38.5743567, 100.41489535 38.57435603, 100.41482695 38.57433588, 100.41473658 38.57418635, 100.41466983 38.57412614, 100.41453676 38.57402861, 100.41452929 38.57401916, 100.41448091 38.57402928, 100.41460206 38.57426233, 100.41469183 38.57440799, 100.41478519 38.57455947, 100.41493582 38.57480932, 100.41501596 38.57493229, 100.41505959 38.57492795, 100.41512201 38.57489096))",227
"Polygon ((100.41350695 38.57491575, 100.41352318 38.5749087, 100.41357298 38.57490905, 100.41364676 38.57489386, 100.41368355 38.57487866, 100.41368388 38.57477188, 100.41364828 38.57469032, 100.4136543 38.57462543, 100.41360902 38.57454589, 100.41357345 38.57446624, 100.41348959 38.57427659, 100.41343932 38.57423174, 100.4134179 38.57421263, 100.41333108 38.57424419, 100.41326096 38.57426029, 100.41321962 38.57425867, 100.41323907 38.5744164, 100.41329221 38.57464932, 100.41331599 38.57480919, 100.41334274 38.57493471, 100.41336048 38.57497263, 100.41341859 38.57496335, 100.41348705 38.57492439, 100.41350695 38.57491575))",228
"Polygon ((100.41092149 38.57463504, 100.41084823 38.57453702, 100.41079443 38.57450311, 100.41068101 38.57436982, 100.4106285 38.57432398, 100.41062077 38.57431692, 100.41052063 38.57431932, 100.41048008 38.57434126, 100.41042042 38.5743956, 100.41040172 38.57444826, 100.41040206 38.57446613, 100.41041619 38.57448979, 100.41040883 38.5745018, 100.41032744 38.57453138, 100.41029578 38.57454249, 100.41026333 38.57451308, 100.41023746 38.57450982, 100.4101832 38.57452954, 100.41013386 38.57456827, 100.41010806 38.57456858, 100.41008653 38.57455454, 100.41006799 38.57453808, 100.41007049 38.57451064, 100.41016877 38.57433548, 100.41018963 38.57431497, 100.410183 38.57428645, 100.41024471 38.57425949, 100.41034613 38.57424516, 100.41043584 38.57425242, 100.41052145 38.57428356, 100.41058211 38.57428045, 100.41063364 38.57427625, 100.41064275 38.57426563, 100.4106812 38.57427063, 100.41072303 38.57426727, 100.41075713 38.57424112, 100.41077664 38.57415385, 100.41079529 38.57414342, 100.41084704 38.57408845, 100.41089759 38.57406496, 100.41093348 38.57403736, 100.41102437 38.57393474, 100.41103337 38.57393035, 100.41105144 38.57392154, 100.41113126 38.57390485, 100.41123566 38.57384067, 100.41130528 38.57376833, 100.41132624 38.57372232, 100.41132756 38.57360361, 100.41138671 38.57346133, 100.41139705 38.57343291, 100.41140918 38.57339957, 100.41148214 38.57331146, 100.41148357 38.57329142, 100.4114791 38.57327671, 100.41139922 38.57331079, 100.41129789 38.57334538, 100.41121697 38.5733889, 100.41122437 38.57337391, 100.4113178 38.57330796, 100.41145965 38.57320527, 100.41145603 38.57318737, 100.41144785 38.5731417, 100.41148504 38.57308692, 100.41149708 38.57305102, 100.41149994 38.57301095, 100.41144045 38.57293503, 100.41106549 38.5732699, 100.41087263 38.57344215, 100.41074656 38.57355921, 100.41067544 38.57362525, 100.41047008 38.57381594, 100.41035255 38.5739171, 100.41009346 38.5741401, 100.40995952 38.57425538, 100.40994808 38.57426505, 100.40991717 38.57435519, 100.40989595 38.57437532, 100.40986501 38.57440468, 100.4098566 38.57444053, 100.40988597 38.57446758, 100.40993047 38.57449207, 100.40994915 38.57451568, 100.40998523 38.57449737, 100.41000234 38.57451861, 100.41003921 38.57454081, 100.41005457 38.57455016, 100.41001707 38.57457325, 100.41000093 38.57460205, 100.41003799 38.57463378, 100.41006887 38.57466081, 100.41011076 38.57470678, 100.41014786 38.57474089, 100.41018491 38.57477262, 100.41024814 38.5748231, 100.41027064 38.57484809, 100.41028848 38.5748679, 100.41033814 38.57492331, 100.41038971 38.57499895, 100.4104138 38.57503536, 100.4104779 38.57500623, 100.410526 38.57498182, 100.41065935 38.57489203, 100.41078462 38.57480248, 100.41085097 38.57475506, 100.41094383 38.57469078, 100.41092149 38.57463504))",229
"Polygon ((100.41716127 38.57465719, 100.41696451 38.57465576, 100.41695509 38.57467112, 100.41696025 38.57468631, 100.4170093 38.57471051, 100.41706336 38.57474227, 100.41716165 38.57480018, 100.41731748 38.5749432, 100.417362 38.57499359, 100.41738455 38.5750186, 100.4175628 38.5748638, 100.41761112 38.57481706, 100.41761227 38.57476368, 100.41758326 38.57473821, 100.41751228 38.57472158, 100.4174828 38.57470477, 100.41743136 38.57468252, 100.41732665 38.57466853, 100.41716127 38.57465719))",230
"Polygon ((100.42560941 38.57466737, 100.42556606 38.57456304, 100.42554296 38.5745004, 100.42551994 38.57444157, 100.42547525 38.57439254, 100.42544809 38.57437, 100.42540266 38.5743337, 100.42539873 38.57433056, 100.425277 38.57417819, 100.42524184 38.57413418, 100.42515322 38.57403252, 100.42512088 38.5740713, 100.42511826 38.57407332, 100.42508798 38.57409672, 100.42500111 38.57415617, 100.42492455 38.57420639, 100.42491447 38.57416167, 100.42493889 38.57415693, 100.42498381 38.5741254, 100.4250469 38.57407382, 100.42513001 38.57400588, 100.4250629 38.57392853, 100.42504039 38.57389763, 100.42497488 38.57393651, 100.42494844 38.57391276, 100.42502296 38.57387372, 100.42501257 38.57383953, 100.42499254 38.57380927, 100.42493328 38.57376042, 100.4249762 38.57371985, 100.42494635 38.57368399, 100.42491952 38.5736786, 100.42488799 38.57368089, 100.42484899 38.57367374, 100.42483382 38.57367392, 100.42482228 38.57367406, 100.42467954 38.57374754, 100.4247255 38.57383272, 100.42470226 38.57384312, 100.42465158 38.57376194, 100.42450112 38.57384604, 100.42436062 38.57392457, 100.42432727 38.57394321, 100.42412071 38.57406012, 100.42411854 38.57407349, 100.42417867 38.57413713, 100.42422429 38.57413989, 100.42425335 38.57413572, 100.42425842 38.57417671, 100.4243374 38.57421001, 100.42435791 38.57422315, 100.42441158 38.57421531, 100.42448874 38.57419407, 100.42450669 38.57423512, 100.42453588 38.57425264, 100.42457651 38.57428372, 100.42447558 38.57433384, 100.42449077 38.57435115, 100.42452541 38.57438314, 100.42454297 38.57441152, 100.42457593 38.57448167, 100.42458249 38.57450697, 100.42459959 38.5745729, 100.42461567 38.57458426, 100.42466856 38.57462163, 100.42472474 38.57463811, 100.4247491 38.57464163, 100.42482905 38.57463112, 100.4249286 38.57462991, 100.42509414 38.57464886, 100.4251452 38.57465206, 100.42518462 38.57468017, 100.42518795 38.57472589, 100.42522255 38.57475598, 100.42533052 38.57481186, 100.42538165 38.57484209, 100.42539688 38.5748511, 100.42542889 38.57487359, 100.42546304 38.5748808, 100.42548004 38.57488059, 100.42553858 38.57489322, 100.42561643 38.5748999, 100.42569758 38.57495039, 100.42571902 38.57492916, 100.42570605 38.57488737, 100.42568041 38.57481904, 100.42565747 38.57476403, 100.42561672 38.57468208, 100.42560941 38.57466737),(100.42473485 38.57419683, 100.42470057 38.57415197, 100.42466809 38.57410891, 100.42468076 38.57410192, 100.42475721 38.5741763, 100.42481167 38.57424357, 100.42479796 38.57431761, 100.42482007 38.57436144, 100.42485723 38.57439793, 100.42489872 38.57442364, 100.42487155 38.57443112, 100.42497104 38.57451904, 100.4250407 38.57454107, 100.42506024 38.57454084, 100.42508823 38.57457748, 100.42502988 38.57456218, 100.42495846 38.57452777, 100.42485366 38.5744374, 100.42485796 38.57443486, 100.42478242 38.5743762, 100.424763 38.57431566, 100.42477283 38.57427502, 100.42477067 38.57424287, 100.42474774 38.5742134, 100.42473485 38.57419683))",231
"Polygon ((100.39754798 38.57391033, 100.3973368 38.57379301, 100.39709508 38.57375805, 100.39704786 38.57380908, 100.39703971 38.57380287, 100.3969544 38.57396157, 100.39697548 38.57421992, 100.39698913 38.57450991, 100.39684432 38.57491531, 100.39679905 38.57506723, 100.39683411 38.57521819, 100.39698833 38.57529835, 100.39722944 38.57530178, 100.39753336 38.57522877, 100.39776203 38.57500528, 100.39797489 38.57479459, 100.39796915 38.5744982, 100.39778643 38.57419132, 100.39754798 38.57391033))",232
"Polygon ((100.41374747 38.57341276, 100.41366884 38.57336605, 100.41364116 38.57344074, 100.41358112 38.57372365, 100.41356932 38.57386488, 100.41360985 38.57395019, 100.41358131 38.57398105, 100.41361501 38.57408932, 100.41374527 38.57416782, 100.41380684 38.57421093, 100.41381961 38.57423624, 100.41384222 38.57428105, 100.41393214 38.57440771, 100.41392192 38.57443775, 100.4138885 38.57453598, 100.41400143 38.57459754, 100.4141122 38.57467247, 100.41433212 38.57474035, 100.41435341 38.574759, 100.4144631 38.57485508, 100.41448454 38.57488472, 100.41452052 38.57493446, 100.41465721 38.57509297, 100.41475942 38.57510317, 100.41486022 38.57504094, 100.41496511 38.57494053, 100.41495115 38.57488896, 100.41492234 38.57484451, 100.41486185 38.57475302, 100.41481557 38.57474595, 100.41481751 38.57472114, 100.41478456 38.57465099, 100.41466146 38.57444275, 100.41461975 38.57441712, 100.41459754 38.57440348, 100.41450429 38.5742845, 100.41449541 38.57427316, 100.41438322 38.5741258, 100.41437664 38.57411344, 100.414358 38.57407843, 100.41420472 38.57392428, 100.41405593 38.57378465, 100.41402617 38.57376142, 100.41395727 38.57370766, 100.41380728 38.57349021, 100.41374747 38.57341276))",233
"Polygon ((100.42041175 38.5748223, 100.42053651 38.57474452, 100.4207064 38.57461472, 100.42075934 38.57458929, 100.42069926 38.5744985, 100.42062954 38.57441164, 100.42060752 38.57438381, 100.42054734 38.57430777, 100.42053568 38.57429327, 100.4204851 38.57423035, 100.42041254 38.57412255, 100.420392 38.57409624, 100.42034028 38.57403, 100.42028092 38.57397543, 100.4202572 38.57397448, 100.42024446 38.57397397, 100.42016507 38.57388913, 100.42008609 38.57382526, 100.41990788 38.57365583, 100.41972897 38.57349767, 100.41953445 38.57333201, 100.419462 38.57327186, 100.41945323 38.5732777, 100.41918393 38.5734757, 100.41930605 38.5736204, 100.41929757 38.57365196, 100.41939698 38.57379804, 100.41945961 38.57392598, 100.41943065 38.57393491, 100.41942627 38.57389779, 100.41940203 38.57386948, 100.41931178 38.57372615, 100.41930651 38.57371773, 100.41916409 38.57349029, 100.41906299 38.57356462, 100.41882462 38.57374327, 100.41889833 38.57382163, 100.41893535 38.57385097, 100.41894765 38.57385917, 100.41893577 38.57387242, 100.41896433 38.57393523, 100.4190875 38.57410057, 100.41912243 38.57410134, 100.41912185 38.57414901, 100.41922648 38.57429789, 100.41925899 38.57432967, 100.41927463 38.57435331, 100.41928131 38.57438422, 100.41939828 38.57454248, 100.41941202 38.57455586, 100.41943697 38.57458014, 100.41945245 38.57459545, 100.41949807 38.57459966, 100.41951496 38.57460899, 100.41952206 38.57466134, 100.41954798 38.57474444, 100.41959144 38.57479277, 100.41964853 38.57483974, 100.419721 38.5748198, 100.41974904 38.5748564, 100.41972682 38.57488408, 100.41972736 38.57491148, 100.4197989 38.57499879, 100.41981099 38.57502598, 100.41994611 38.57510442, 100.41997734 38.57508688, 100.42011642 38.57499558, 100.42012579 38.57499124, 100.42023917 38.5749388, 100.42029673 38.57490187, 100.42028164 38.57487536, 100.42034443 38.57485744, 100.42041175 38.5748223))",234
"Polygon ((100.41439545 38.57498549, 100.41435389 38.5749562, 100.4143039 38.57496157, 100.41432289 38.57499691, 100.41435316 38.57505446, 100.41439038 38.57509477, 100.41441657 38.57512948, 100.41447309 38.57517398, 100.41449099 38.57513567, 100.41448214 38.57507143, 100.41439545 38.57498549))",235
"Polygon ((100.41752162 38.57501127, 100.41750226 38.57497317, 100.41748641 38.57498253, 100.4173984 38.57510619, 100.41740001 38.57512619, 100.41741867 38.57514885, 100.41746873 38.57516254, 100.41754028 38.57509589, 100.41754239 38.57507966, 100.41754185 38.57505202, 100.41752162 38.57501127))",236
"Polygon ((100.42714234 38.57499464, 100.42720044 38.57486237, 100.42720657 38.5748235, 100.42721476 38.57478279, 100.42723091 38.57473524, 100.42723919 38.57469647, 100.42724658 38.57466322, 100.42724119 38.57464514, 100.42722725 38.5746218, 100.42724406 38.57461207, 100.42725605 38.57460429, 100.42727576 38.57449537, 100.42726487 38.5744364, 100.42728863 38.57440942, 100.42730218 38.57435777, 100.42729623 38.57430255, 100.42730299 38.57427578, 100.42731691 38.57424319, 100.42730258 38.57413278, 100.42732899 38.57411721, 100.42733313 38.57408093, 100.4273202 38.57404105, 100.42729539 38.57401466, 100.42726557 38.5739807, 100.42714175 38.57386019, 100.42702824 38.57377005, 100.42692957 38.57369308, 100.42690271 38.57368578, 100.42681958 38.5736582, 100.42665183 38.57352678, 100.42661742 38.57350622, 100.42654882 38.57347655, 100.42653922 38.57348239, 100.42652002 38.57349406, 100.42648362 38.57361844, 100.42647732 38.57366809, 100.42649735 38.57369835, 100.4265061 38.5737726, 100.4265333 38.57379706, 100.42653394 38.57382946, 100.42654228 38.57388275, 100.42656284 38.5739397, 100.42656098 38.57396832, 100.42654967 38.5740104, 100.42655569 38.57406944, 100.42657341 38.57410545, 100.42658346 38.57412248, 100.42655056 38.57417818, 100.42654815 38.57430214, 100.42655843 38.57433061, 100.42652527 38.57437296, 100.42651471 38.57445317, 100.42653728 38.57448913, 100.42654876 38.5745786, 100.42657357 38.57460499, 100.42659838 38.57463138, 100.42661629 38.57467692, 100.42664371 38.57471281, 100.42668317 38.57474284, 100.42671989 38.57475764, 100.42670753 38.57477734, 100.42681221 38.57482856, 100.42689638 38.57485838, 100.42693487 38.57487662, 100.42700495 38.57487169, 100.42700186 38.57488398, 100.42696242 38.57500064, 100.42704719 38.57506515, 100.42706838 38.57506227, 100.42709741 38.5750562, 100.42714234 38.57499464))",237
"Polygon ((100.41310328 38.57444992, 100.41306036 38.57430458, 100.41293807 38.57437688, 100.41284306 38.57443305, 100.41279788 38.57446186, 100.41262437 38.57457252, 100.41253297 38.5746308, 100.41248804 38.57465946, 100.41244795 38.57468356, 100.41234621 38.57474471, 100.41224204 38.57480732, 100.41216756 38.57485208, 100.41226987 38.57499099, 100.41233425 38.57506172, 100.41245355 38.57519278, 100.41254939 38.57527821, 100.41260473 38.57523067, 100.41268595 38.57516089, 100.41269326 38.57515462, 100.41270022 38.57513833, 100.41276383 38.57509942, 100.41277535 38.57509489, 100.41282941 38.57507362, 100.41288033 38.57502053, 100.41303342 38.5748609, 100.41312274 38.57476777, 100.41312427 38.5745775, 100.41312222 38.57457155, 100.41310466 38.57452045, 100.41310328 38.57444992))",238
"Polygon ((100.41430884 38.57502354, 100.41427015 38.57496463, 100.41425844 38.57496569, 100.41424037 38.57495686, 100.41425587 38.57501631, 100.41427489 38.5751505, 100.41428079 38.57521907, 100.41432124 38.57528143, 100.41437671 38.57526814, 100.41445039 38.57523269, 100.41446093 38.57520443, 100.41442357 38.57516157, 100.41438655 38.57513128, 100.41437345 38.57511356, 100.41430884 38.57502354))",239
"Polygon ((100.41131948 38.573951, 100.41125528 38.57392794, 100.41116305 38.57394693, 100.4110616 38.57396007, 100.41096003 38.57404471, 100.41092699 38.57408343, 100.41089326 38.57412297, 100.41085225 38.57419973, 100.41083161 38.57423096, 100.41080633 38.57425748, 100.41076304 38.57429495, 100.41071956 38.57432288, 100.41071832 38.57433719, 100.41081134 38.57443617, 100.41082073 38.57444968, 100.41084258 38.57448108, 100.41093361 38.57455625, 100.41093441 38.57456799, 100.41093573 38.57458721, 100.41095752 38.57461435, 100.41098754 38.57467476, 100.4109114 38.57474003, 100.41059999 38.57496186, 100.41053107 38.57500797, 100.41047057 38.57509688, 100.41047998 38.57511226, 100.4105203 38.57515587, 100.41054995 38.57519722, 100.41055393 38.57521132, 100.41056136 38.5752376, 100.41059748 38.57529913, 100.41061481 38.57533109, 100.41066638 38.57532928, 100.41070428 38.57532644, 100.41072947 38.57529515, 100.41074001 38.57529118, 100.41076865 38.57528038, 100.41080909 38.57525249, 100.41095514 38.57503623, 100.41101529 38.57492944, 100.41110876 38.57481868, 100.41113471 38.57481086, 100.41115403 38.57480503, 100.41139467 38.5745352, 100.41153193 38.57440441, 100.41157201 38.57436622, 100.41158982 38.57434575, 100.41152748 38.57426309, 100.41148357 38.57419093, 100.41147294 38.57417377, 100.41143811 38.57411759, 100.41138773 38.57402525, 100.41137729 38.57401389, 100.41131948 38.573951))",240
"Polygon ((100.43443319 38.57505438, 100.43445257 38.57492973, 100.43441017 38.57490451, 100.43434606 38.57488671, 100.43436365 38.57485503, 100.43434677 38.57483093, 100.43435371 38.57481368, 100.43436939 38.57477774, 100.43435998 38.57476213, 100.43431061 38.57475272, 100.43422649 38.57473659, 100.4341275 38.57470492, 100.43413321 38.57465635, 100.43416377 38.57463595, 100.43419459 38.57462842, 100.43422193 38.57462952, 100.43430215 38.57463283, 100.43432602 38.57464254, 100.43434059 38.57464236, 100.43440988 38.5746458, 100.43449394 38.57465907, 100.43459473 38.5746893, 100.4346309 38.57467599, 100.43464521 38.57466294, 100.43464302 38.57464438, 100.43464237 38.5746115, 100.43461812 38.57458319, 100.43459926 38.57455054, 100.43455475 38.57451104, 100.43453256 38.57449415, 100.43451016 38.57446726, 100.43449699 38.57446026, 100.43449175 38.57445747, 100.43448569 38.57442752, 100.43447431 38.57440478, 100.43441666 38.57434543, 100.43439452 38.5743314, 100.4343653 38.57432746, 100.43432799 38.57428359, 100.43430398 38.57426673, 100.43430117 38.57426474, 100.43425225 38.57423018, 100.43418614 38.57420382, 100.43420128 38.57416435, 100.43415029 38.57409993, 100.43413565 38.57408423, 100.43410917 38.57405583, 100.43406601 38.57402849, 100.43401372 38.57399518, 100.43400702 38.57399009, 100.43399009 38.57396313, 100.43396616 38.57395055, 100.43391503 38.57394402, 100.43390032 38.57394549, 100.4338823 38.57394729, 100.43384346 38.57391773, 100.43380653 38.57389245, 100.43376985 38.57388003, 100.43374245 38.57387607, 100.43368118 38.57390971, 100.43362697 38.57393182, 100.43362125 38.57391902, 100.43360054 38.57388496, 100.43357809 38.5738552, 100.43352852 38.57383579, 100.43350086 38.57381897, 100.43344887 38.57386108, 100.43343231 38.5738527, 100.43336766 38.57380773, 100.43331975 38.57377972, 100.43329405 38.57377002, 100.43327402 38.57377027, 100.4332434 38.5737878, 100.43320117 38.57377116, 100.43315172 38.57375747, 100.43311703 38.5737536, 100.43309703 38.57375528, 100.43306991 38.57376562, 100.43303019 38.57378326, 100.4329838 38.57383245, 100.43290689 38.57390346, 100.4328531 38.57394702, 100.43283229 38.57396347, 100.43277957 38.57400512, 100.43257522 38.57427235, 100.43233918 38.57452682, 100.43240116 38.57454874, 100.43256912 38.57460581, 100.4327221 38.57465778, 100.43275983 38.5746681, 100.43295006 38.5747194, 100.43314098 38.57476897, 100.43333836 38.57482546, 100.43337413 38.5748357, 100.4334677 38.57485631, 100.43352782 38.57486956, 100.43364994 38.57490449, 100.43375316 38.57493401, 100.43382461 38.57495459, 100.43387392 38.57496113, 100.43390855 38.57496214, 100.43394865 38.57496308, 100.43401023 38.57494516, 100.43405251 38.57496466, 100.4341424 38.57499645, 100.43419917 38.57501148, 100.43424487 38.57501951, 100.43430895 38.57503588, 100.43441139 38.5750575, 100.43443319 38.57505438))",241
"Polygon ((100.41374706 38.57502089, 100.41366961 38.57491124, 100.41362916 38.57492553, 100.41352023 38.57494401, 100.41345774 38.57497813, 100.41343132 38.57499275, 100.41349944 38.57506056, 100.41351505 38.57511376, 100.41353119 38.57525561, 100.41353093 38.57530424, 100.4135652 38.57531812, 100.4136065 38.57531858, 100.41366446 38.57530167, 100.41376445 38.57526042, 100.41379682 38.57523906, 100.41383646 38.57521665, 100.41390357 38.57518877, 100.41391498 38.57516186, 100.41383533 38.57506368, 100.41376405 38.57502068, 100.41374706 38.57502089))",242
"Polygon ((100.39068401 38.57116554, 100.39061894 38.57113652, 100.39052743 38.57111378, 100.39041752 38.57112104, 100.39033468 38.5711548, 100.39014883 38.57115998, 100.39007612 38.57112807, 100.38994609 38.571076, 100.38988113 38.57105293, 100.38983928 38.57104747, 100.38977404 38.57100952, 100.3896251 38.57096064, 100.38947616 38.57091176, 100.38936936 38.57088324, 100.38923232 38.57086103, 100.38917098 38.57082899, 100.38903773 38.57080674, 100.38892679 38.57076039, 100.38883103 38.57071386, 100.38853395 38.5706578, 100.38836282 38.57063898, 100.38824492 38.57062548, 100.3881837 38.57059939, 100.38803845 38.57054451, 100.38789704 38.57049256, 100.38783979 38.57047537, 100.38765981 38.57039111, 100.38743413 38.57029845, 100.38737631 38.57025147, 100.38731503 38.5702224, 100.38724646 38.57020832, 100.38720398 38.57017009, 100.38710385 38.57009382, 100.38699699 38.57006232, 100.38678678 38.56998437, 100.38655754 38.56990367, 100.38631227 38.56977847, 100.38629002 38.56980555, 100.38634031 38.5698556, 100.38646366 38.56995543, 100.38649051 38.56997001, 100.38658219 38.57000169, 100.38667037 38.57004831, 100.38680884 38.57014499, 100.38690495 38.57020939, 100.38696581 38.57041423, 100.38704438 38.57055332, 100.38711381 38.57061208, 100.38734466 38.57077618, 100.38745508 38.57079572, 100.38751251 38.57082185, 100.38757005 38.57085394, 100.38779601 38.57096149, 100.38787224 38.57097846, 100.3879173 38.57095409, 100.38811539 38.57099345, 100.38821846 38.571025, 100.38839798 38.57108543, 100.38857853 38.57119948, 100.38863998 38.57123748, 100.38874425 38.57133157, 100.38894435 38.57147518, 100.38912105 38.57158629, 100.38942698 38.57170778, 100.3895258 38.57171555, 100.38957943 38.57174172, 100.38965623 38.57178848, 100.38979379 38.57183749, 100.38997406 38.57193664, 100.39000303 38.57206142, 100.39004298 38.57216521, 100.39003832 38.57231721, 100.39001768 38.57242768, 100.3901638 38.57252724, 100.3900705 38.57260878, 100.39002646 38.57268676, 100.39005698 38.57289196, 100.38989084 38.57313227, 100.38986779 38.57331427, 100.38968986 38.57353386, 100.38954596 38.57394371, 100.38953209 38.57420902, 100.38951909 38.57451901, 100.3894352 38.5748924, 100.38929676 38.57519196, 100.38915711 38.57562559, 100.38918005 38.57563426, 100.38935211 38.57550411, 100.38937425 38.57547108, 100.38965486 38.57486894, 100.38989955 38.57417487, 100.38989771 38.57407956, 100.39004115 38.57364588, 100.39026128 38.57305637, 100.39027854 38.57277016, 100.39038529 38.57240246, 100.39046198 38.57224663, 100.3904179 38.57212501, 100.3904817 38.5720885, 100.39053224 38.57195384, 100.39056087 38.57186413, 100.39066595 38.57160667, 100.39076282 38.57131654, 100.39075334 38.57121834, 100.39068401 38.57116554))",243
"Polygon ((100.41403121 38.57483497, 100.4139886 38.57482953, 100.41390845 38.5748448, 100.41389509 38.57486045, 100.41398599 38.57500593, 100.41406691 38.57510743, 100.4141258 38.57516869, 100.41416514 38.57523971, 100.41416528 38.57524686, 100.41419739 38.57533585, 100.41425938 38.57532318, 100.41428631 38.57529802, 100.41423872 38.57521028, 100.41423256 38.57512813, 100.41421251 38.57498824, 100.41416852 38.57492175, 100.41416801 38.5749215, 100.41406528 38.57486912, 100.41403121 38.57483497))",244
"Polygon ((100.41327271 38.57528841, 100.41322368 38.57518771, 100.41306629 38.57528971, 100.41311006 38.57535472, 100.41315347 38.57540067, 100.41324265 38.57543781, 100.41327976 38.57541583, 100.41329667 38.57534889, 100.41327271 38.57528841))",245
"Polygon ((100.41245488 38.57525037, 100.41241753 38.57520316, 100.4123784 38.57518933, 100.41233013 38.57520517, 100.4123022 38.5752055, 100.41227874 38.57518577, 100.41229888 38.57515978, 100.41232389 38.57513469, 100.41231244 38.57510814, 100.41228194 38.57510088, 100.41225162 38.57510315, 100.41225708 38.57507163, 100.41222282 38.57499673, 100.41218459 38.57496668, 100.41214815 38.57496617, 100.41212106 38.57488546, 100.41210095 38.57486761, 100.41202184 38.57477279, 100.41204314 38.57475103, 100.41210457 38.57466354, 100.41209154 38.57461794, 100.4120511 38.57459936, 100.41197683 38.57458977, 100.41194579 38.57461683, 100.41189722 38.57474135, 100.41188416 38.57475676, 100.41185183 38.57478003, 100.41177922 38.57485527, 100.41173406 38.57490539, 100.41175369 38.57491564, 100.41180132 38.57492936, 100.41178263 38.57494735, 100.41181175 38.57497679, 100.41188887 38.57501143, 100.41196624 38.57507926, 100.4120399 38.57514384, 100.41206122 38.57516886, 100.41214928 38.57527217, 100.41218988 38.57529933, 100.41223242 38.57536269, 100.41228229 38.5754064, 100.41234876 38.57546464, 100.41237019 38.57545255, 100.4123964 38.57542649, 100.41246461 38.57537514, 100.41251363 38.57533546, 100.41252418 38.57531627, 100.41251038 38.57529356, 100.41248473 38.57528624, 100.41246295 38.57526883, 100.41246006 38.57526652, 100.41245488 38.57525037))",246
"Polygon ((100.42315165 38.57502174, 100.42310811 38.57498084, 100.42309227 38.57499708, 100.42284517 38.5751681, 100.42282629 38.57518078, 100.4229167 38.57525544, 100.42296541 38.57526248, 100.42304227 38.57534162, 100.42307159 38.5753508, 100.42311083 38.57533546, 100.42315732 38.5753063, 100.42329914 38.57518541, 100.42331215 38.57517639, 100.42324833 38.57512067, 100.42320637 38.57508686, 100.42320491 38.57507448, 100.42315165 38.57502174))",247
