A,B
"Polygon ((100.41484743 38.56794116, 100.4146697 38.56779459, 100.41457994 38.56786146, 100.41455042 38.5678785, 100.41450909 38.56790235, 100.41442656 38.56796627, 100.41425507 38.56807607, 100.41413823 38.56815604, 100.41425528 38.5682739, 100.41437343 38.5683547, 100.41464499 38.56814476, 100.4147666 38.56802782, 100.41482972 38.56796712, 100.41484743 38.56794116))",31
"Polygon ((100.41223932 38.56797225, 100.41220286 38.56773793, 100.41207813 38.56780949, 100.41179338 38.56799525, 100.41192416 38.56800797, 100.41195885 38.56807429, 100.41202135 38.56816529, 100.41213205 38.5683153, 100.41220934 38.56842592, 100.4122992 38.56836382, 100.41228119 38.56831256, 100.41225927 38.56812311, 100.41224114 38.56800321, 100.41223932 38.56797225))",32
"Polygon ((100.40908541 38.56773077, 100.40898501 38.56768813, 100.40894721 38.56769699, 100.40896568 38.56775017, 100.40896794 38.56778827, 100.40897228 38.56785495, 100.40895806 38.56790398, 100.40894209 38.56794112, 100.4089563 38.568047, 100.40903997 38.56813418, 100.40912644 38.56820941, 100.40912118 38.56825118, 100.40915506 38.56827579, 100.40923023 38.5683166, 100.40928464 38.56838267, 100.4093219 38.56842513, 100.40938449 38.56844344, 100.40941097 38.56847768, 100.40941491 38.56852411, 100.40943508 38.5685465, 100.40947217 38.56858062, 100.409496 38.5685872, 100.40951891 38.56856456, 100.4095323 38.5685507, 100.40953794 38.56852858, 100.40954625 38.56848737, 100.40954341 38.5684588, 100.40954032 38.56840018, 100.40955711 38.56839485, 100.40955462 38.5683772, 100.40951215 38.5683167, 100.40944069 38.56826417, 100.40938616 38.56820763, 100.40935116 38.56815657, 100.4093329 38.56809196, 100.40929671 38.56797991, 100.40925189 38.56792325, 100.40917928 38.56781163, 100.40908541 38.56773077))",33
"Polygon ((100.41185667 38.56801864, 100.41178682 38.5680171, 100.41175857 38.56804723, 100.41162157 38.56810489, 100.41168208 38.56817209, 100.41179338 38.56831879, 100.41188642 38.56843648, 100.41197425 38.56857462, 100.41209935 38.568514, 100.41211117 38.56850769, 100.41219068 38.56846523, 100.41219742 38.56845104, 100.41201231 38.56819996, 100.41190416 38.56804071, 100.41185667 38.56801864))",34
"Polygon ((100.40899385 38.56841338, 100.40896893 38.56840276, 100.40893833 38.56841524, 100.40891457 38.56844174, 100.40912335 38.56862029, 100.40914856 38.56859384, 100.40914052 38.56855533, 100.40913199 38.56853827, 100.40904945 38.56846205, 100.40899385 38.56841338))",35
"Polygon ((100.41077053 38.5678436, 100.41065266 38.56770021, 100.41057854 38.56774259, 100.41047002 38.56780818, 100.41043692 38.56782819, 100.41037237 38.56788044, 100.41036901 38.5678822, 100.41030506 38.56791557, 100.41023281 38.56794695, 100.4102161 38.56796145, 100.41027711 38.56803889, 100.41031917 38.56807842, 100.41032078 38.56809843, 100.41033725 38.5681335, 100.4104006 38.56820614, 100.41044981 38.56823891, 100.41046556 38.56825545, 100.41047584 38.56826625, 100.41052575 38.56833429, 100.41060146 38.56841822, 100.41061087 38.56842938, 100.41062135 38.56844181, 100.41071342 38.5685551, 100.41075201 38.56860326, 100.41076331 38.56862219, 100.41092667 38.56851825, 100.41103177 38.56844853, 100.41121486 38.56834146, 100.41102887 38.56814469, 100.41089855 38.56800088, 100.4108994 38.56800035, 100.41077053 38.5678436))",36
"Polygon ((100.40910826 38.56862865, 100.4089058 38.56846216, 100.40888988 38.56849924, 100.40908425 38.56866283, 100.40910674 38.56864439, 100.40910826 38.56862865))",37
"Polygon ((100.41530812 38.56770241, 100.41527052 38.5676428, 100.41514071 38.56774171, 100.41495278 38.56791081, 100.41489126 38.56794731, 100.41479158 38.5680498, 100.41461676 38.56819134, 100.41462908 38.56820077, 100.41454271 38.56828518, 100.41440185 38.56838275, 100.41446073 38.56844088, 100.41455536 38.56852911, 100.41459803 38.56856742, 100.41463786 38.56860318, 100.41471929 38.56866869, 100.41475335 38.56867007, 100.41507944 38.56830148, 100.41527739 38.56808602, 100.41534128 38.56799589, 100.41535715 38.56797351, 100.41546714 38.56791641, 100.41546758 38.56784634, 100.41536222 38.56776753, 100.41530812 38.56770241))",38
"Polygon ((100.41619504 38.56889075, 100.41619104 38.56874426, 100.41615603 38.5687459, 100.41612229 38.56872844, 100.41605515 38.56878764, 100.41605282 38.56882342, 100.41607012 38.56893165, 100.41611434 38.56894184, 100.41619504 38.56889075))",39
"Polygon ((100.38924194 38.56922778, 100.38961811 38.56921379, 100.38984878 38.56921105, 100.39004192 38.56915155, 100.38998767 38.56885667, 100.38985837 38.56844827, 100.38966386 38.5682411, 100.38667109 38.56876988, 100.38670758 38.56878118, 100.38696455 38.568883, 100.38738043 38.56904013, 100.38777277 38.56923568, 100.38832019 38.56928639, 100.38874437 38.56924322, 100.38924194 38.56922778))",40
